m_mistrust,outcome,credences
0.41836734693877553,True consensus,"[[0.9999902583352014, 0.9997991505504542, 0.9999999917899238], [0.9999861033628885, 0.9999850700420503, 0.9999999989992827], [0.9999757141897182, 0.9999746647409175, 0.9999999998347988], [0.9999180334265219, 0.9999947358505069, 0.9999999992017331], [0.9999925930983661, 0.9999613020772539, 0.9999999990563513], [0.9999777892244124, 0.9999913864258048, 0.9999999943153103], [0.9999991544032204, 0.9999935748134021, 0.9999999968872106], [0.9999695050929753, 0.9999975565249981, 0.9999999983942832], [0.9999998418689137, 0.9999677017467499, 0.9999999995870942], [0.9999718173389838, 0.9999890006427041, 0.999999999874289]]"
0.17959183673469387,True consensus,"[[0.9999999389867108, 0.9987014267327838, 0.9999999860494481], [0.9999999102467542, 0.999964984952249, 0.9999999979677582], [0.9999997714735618, 0.9999208223494663, 0.9999999996085638], [0.9999990974233561, 0.9999763059570811, 0.9999999982293928], [0.9999999484442517, 0.9997831812199393, 0.9999999981390374], [0.9999997143152892, 0.9999605984576261, 0.9999999783783989], [0.9999999926240258, 0.9999729157456019, 0.9999999879604624], [0.9999994975602684, 0.9999823861403567, 0.9999999944737149], [0.9999999990612385, 0.999759060997936, 0.9999999991394841], [0.9999996235038352, 0.999895171417586, 0.9999999994743433]]"
0.1,True consensus,"[[0.9999976989406025, 0.9999327759357333, 0.9999999804344458], [0.999996439702894, 0.999998891847951, 0.9999999968756603], [0.9999893301131483, 0.9999971377556292, 0.999999999367438], [0.9999520145230394, 0.9999990963409995, 0.999999997300589], [0.9999979271850176, 0.9999905757344209, 0.9999999972457086], [0.9999846269392223, 0.9999984531277017, 0.9999999606397362], [0.9999996805577732, 0.9999990188470331, 0.9999999777946418], [0.9999662678289435, 0.999999310367214, 0.9999999908180559], [0.9999999633987329, 0.9999908488288145, 0.999999998895255], [0.9999726763494206, 0.9999960070611612, 0.9999999991999344]]"
0.25918367346938775,True consensus,"[[0.9999999213745033, 0.9987104583992411, 0.9999999762577684], [0.9999998886269994, 0.9999482931804481, 0.9999999968217649], [0.9999997533011432, 0.9998953726475737, 0.9999999994180455], [0.9999991358625939, 0.9999704773653394, 0.999999997296542], [0.9999999386015541, 0.9997561107895337, 0.9999999970263367], [0.9999997302245178, 0.9999507633782482, 0.9999999711842584], [0.9999999917697086, 0.9999645568798136, 0.9999999841243657], [0.9999995686426704, 0.999980087087185, 0.9999999921727779], [0.9999999988182334, 0.9997347728463699, 0.9999999985385086], [0.9999996669807293, 0.9998899434217688, 0.999999999242601]]"
0.5775510204081632,True consensus,"[[0.9999870147067188, 0.9997481611307398, 0.9999999811256048], [0.9999812506919156, 0.9999720250396941, 0.9999999978574854], [0.9999730593639522, 0.9999581231194213, 0.9999999996792664], [0.999911835122046, 0.9999927315511413, 0.9999999985107807], [0.9999908010463877, 0.9999500728971558, 0.9999999980594326], [0.9999787037279441, 0.999986913643147, 0.9999999911349037], [0.9999990526131768, 0.9999904052014995, 0.9999999952081905], [0.9999742144626456, 0.9999970557102459, 0.9999999973217805], [0.999999763117726, 0.9999586294690065, 0.9999999990184364], [0.9999731035484783, 0.9999875295562628, 0.999999999793992]]"
0.49795918367346936,True consensus,"[[0.9999886391150383, 0.9997754372449205, 0.9999999872633317], [0.9999837376553052, 0.9999791710905453, 0.99999999850945], [0.9999743256089082, 0.9999669764876977, 0.9999999997658998], [0.9999152050838104, 0.9999937299803539, 0.9999999988855511], [0.9999916738790103, 0.99995576061489, 0.9999999986164139], [0.9999782931956793, 0.9999893167525605, 0.9999999928171445], [0.9999990992984408, 0.9999920509910767, 0.9999999960826701], [0.9999720924471349, 0.9999973061117315, 0.9999999978965368], [0.999999806034109, 0.9999635277116214, 0.9999999993539292], [0.9999726561363396, 0.999988305734902, 0.9999999998372985]]"
0.3387755102040816,True consensus,"[[0.9999999018103303, 0.9986785948517731, 0.9999999616541486], [0.9999998641402316, 0.9999267302390812, 0.9999999952238683], [0.999999733487194, 0.9998649676480579, 0.9999999991687695], [0.9999991462566274, 0.9999642256459479, 0.9999999961166415], [0.9999999286792066, 0.9997287277785192, 0.9999999955214633], [0.9999997396108165, 0.9999390638809846, 0.9999999629908598], [0.9999999909587108, 0.9999550953275838, 0.9999999797741442], [0.9999996179869939, 0.9999778559872124, 0.999999989405899], [0.999999998529098, 0.9997077871188554, 0.9999999976242938], [0.9999996963909878, 0.9998839479448447, 0.9999999989586045]]"
0.6571428571428571,True consensus,"[[0.9999854013639053, 0.9997174947011884, 0.9999999731832571], [0.999978707686523, 0.9999637134520887, 0.9999999970204526], [0.9999719608926297, 0.9999482312463732, 0.9999999995739108], [0.9999083382686975, 0.9999917916014849, 0.9999999980870401], [0.9999899994764367, 0.9999443945667497, 0.9999999973869746], [0.9999790649565715, 0.9999841459726648, 0.9999999892680991], [0.9999990157730259, 0.9999886838025489, 0.9999999942952975], [0.9999760230095578, 0.9999968008294652, 0.9999999966697181], [0.9999997114121847, 0.9999528424192734, 0.9999999985463122], [0.9999732427606497, 0.9999866535150573, 0.9999999997433936]]"
0.736734693877551,True consensus,"[[0.9999517831028191, 0.9999737643965076, 0.9999999513312151], [0.9999386176602229, 0.9999965168247135, 0.9999999952154542], [0.9999234049008605, 0.9999951737024412, 0.9999999993398176], [0.9998648833745707, 0.9999991226714895, 0.9999999979027164], [0.9999819649780097, 0.9999941749484302, 0.9999999965530678], [0.99995721590576, 0.9999986466954077, 0.999999986988074], [0.9999980666667907, 0.9999990385402149, 0.999999993163064], [0.9999570751098091, 0.9999997305276721, 0.9999999960347721], [0.9999990888057863, 0.9999958085148829, 0.9999999981264132], [0.9999470564793483, 0.9999987638128767, 0.9999999996964878]]"
0.8163265306122448,True consensus,"[[0.9999464251584368, 0.9999706542986964, 0.9999999343863074], [0.9999321349604743, 0.9999957835742211, 0.9999999936966306], [0.9999209115602634, 0.9999943438347355, 0.9999999991635816], [0.9998689669002897, 0.9999990626886706, 0.9999999975359054], [0.9999817512461009, 0.9999937683665314, 0.9999999957237398], [0.999959092273275, 0.9999984249845496, 0.9999999848070088], [0.9999980858643364, 0.9999989239815175, 0.9999999922333875], [0.9999607478488948, 0.999999711410733, 0.9999999952315635], [0.9999988647794885, 0.9999952405657022, 0.9999999973711705], [0.9999469804032408, 0.9999986658312436, 0.9999999996308813]]"
